user_id,age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source,cluster,user_segment,recommended_action
100011,53,Male,Canada,Android,2.1,6,3.45,45.83,7,3,2,8,0,0,21,Basic,7,5,2,4.0,0.32,74.7,380,Referral,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100012,57,Male,USA,iOS,1.1,5,20.0,27.22,12,6,4,20,0,0,1,Free,5,2,1,5.0,0.07,62.19,617,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100013,41,Male,USA,Android,1.2,8,5.06,37.34,8,5,4,18,1,1,44,Basic,8,5,2,1.0,0.48,67.25,255,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100014,20,Male,USA,iOS,1.1,5,17.92,29.55,16,3,3,21,0,0,11,Basic,5,0,5,5.0,0.98,51.33,691,Google Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100015,39,Female,Singapore,Android,1.2,7,34.27,34.42,13,7,2,3,1,0,35,Free,6,3,2,3.0,0.26,52.69,1130,Organic,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100016,19,Male,India,iOS,1.0,7,16.36,65.07,8,9,7,11,0,0,29,Free,8,1,3,4.0,0.25,73.52,618,Google Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100017,41,Female,USA,Android,1.0,6,16.89,74.7,6,6,6,24,2,0,5,Basic,9,1,1,3.0,0.21,100.0,24,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100018,47,Male,India,Android,2.1,10,13.69,70.42,9,4,2,18,0,0,14,Free,4,5,2,4.0,0.14,51.37,37,Facebook Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100019,55,Male,USA,iOS,2.1,7,10.02,41.47,7,5,4,16,0,0,34,Basic,5,2,0,3.0,0.84,68.99,306,Facebook Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100020,19,Female,USA,Android,1.2,6,13.24,27.44,16,2,4,19,1,0,44,Basic,4,2,1,4.0,0.65,70.46,1025,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100021,38,Female,Germany,Android,2.1,9,10.07,47.97,13,4,6,23,2,0,39,Free,2,7,1,3.0,0.04,57.35,424,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100022,50,Female,India,iOS,2.0,4,9.75,52.22,10,2,3,7,0,0,8,Free,3,6,3,5.0,0.79,78.2,562,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100023,29,Male,Canada,iOS,1.2,13,11.32,45.59,18,8,6,14,0,0,12,Free,6,6,1,5.0,0.87,67.32,34,Email Campaign,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100024,39,Male,UK,Android,2.0,9,8.14,77.63,15,5,4,17,0,0,28,Free,4,6,1,2.0,0.18,82.69,255,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100025,42,Male,India,Android,1.2,9,7.06,24.22,17,5,4,3,0,0,41,Basic,7,3,1,5.0,0.19,79.11,1021,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100026,44,Female,USA,Android,1.2,7,16.42,32.61,14,9,6,19,0,0,2,Premium,5,2,3,,0.94,72.71,649,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100027,59,Male,USA,Android,1.2,11,3.73,67.78,9,9,2,17,0,0,33,Free,5,1,2,3.0,0.27,35.2,631,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100028,45,Female,Germany,Android,1.1,7,9.71,42.66,15,5,6,8,0,1,22,Free,4,7,2,4.0,0.03,44.53,270,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100029,33,Female,India,Android,1.1,8,6.52,26.01,16,5,2,9,2,0,38,Free,7,4,3,5.0,0.33,71.47,96,Referral,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100030,32,Female,USA,Web,2.1,7,9.81,40.61,10,4,5,11,0,0,39,Free,3,5,0,,0.58,57.15,986,Facebook Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100031,20,Other,India,Android,1.0,18,27.97,96.2,18,4,4,4,1,0,43,Basic,4,4,1,4.0,0.88,55.54,657,Google Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100032,54,Female,India,Android,2.1,9,13.45,29.45,18,10,7,16,0,0,22,Basic,3,4,4,5.0,0.72,68.26,535,Google Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100033,24,Male,India,iOS,2.0,8,14.39,31.3,12,4,5,5,0,0,18,Free,8,2,3,4.0,0.25,39.1,82,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100034,38,Female,USA,iOS,1.2,11,10.65,52.53,7,9,5,20,0,0,36,Free,9,3,3,5.0,0.57,54.6,420,Google Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100035,26,Female,Canada,Android,1.1,5,7.11,33.97,15,6,8,6,0,0,22,Free,4,3,1,2.0,0.37,95.65,453,Referral,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100036,56,Female,USA,Android,1.2,3,28.53,71.31,12,4,5,14,0,0,2,Basic,8,5,2,5.0,0.43,71.31,847,Organic,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100037,35,Male,USA,Android,1.2,8,28.76,41.49,13,6,6,5,1,0,26,Free,5,1,2,,0.76,59.79,824,Google Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100038,21,Male,UK,iOS,1.0,9,3.71,21.55,14,5,3,14,0,0,12,Basic,5,4,1,,0.6,83.57,332,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100039,42,Male,India,Web,1.1,5,14.16,73.75,14,3,5,6,0,0,29,Free,7,3,0,4.0,0.44,57.69,196,Facebook Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100040,31,Male,India,iOS,1.1,10,31.83,58.74,13,7,3,11,1,0,42,Basic,3,1,6,,0.02,51.78,189,Facebook Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100041,26,Female,Singapore,Web,1.1,11,24.4,45.43,16,9,8,8,0,1,5,Free,5,3,2,4.0,0.44,50.22,164,Organic,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100042,43,Female,Singapore,Web,2.0,9,7.9,49.39,14,3,1,13,1,0,32,Free,5,7,2,4.0,0.55,75.46,321,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100043,19,Female,Canada,Android,2.0,12,7.81,41.19,12,6,5,22,2,0,3,Free,4,1,5,4.0,0.3,30.84,522,Google Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100044,37,Male,Canada,Android,1.0,7,12.42,76.37,11,5,3,14,0,0,37,Basic,8,5,2,4.0,0.7,43.1,913,Google Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100045,45,Female,India,Android,2.0,9,38.01,19.16,11,10,5,13,0,0,35,Free,7,4,3,3.0,0.55,43.8,561,Organic,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100046,24,Female,India,Android,2.0,9,19.36,54.3,5,5,3,15,0,0,23,Free,6,4,2,1.0,0.22,83.76,830,Facebook Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100047,25,Female,USA,Android,1.0,8,33.17,60.68,11,4,7,17,0,0,33,Free,10,4,3,3.0,0.88,94.83,1090,Google Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100048,52,Female,India,Android,1.0,7,6.79,46.89,14,4,6,18,1,1,23,Free,5,1,2,4.0,0.88,59.4,975,Facebook Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100049,31,Female,India,Android,2.0,8,10.34,47.9,12,2,5,17,0,0,5,Free,6,2,0,4.0,0.43,56.48,59,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100050,34,Female,India,Web,1.1,6,17.51,41.8,12,4,5,15,0,0,36,Basic,9,2,6,,0.07,67.1,22,Google Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100051,53,Female,Singapore,Android,1.2,8,26.34,45.67,8,9,1,4,2,0,4,Free,8,0,0,5.0,0.14,56.76,1098,Facebook Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100052,57,Male,Germany,iOS,1.1,5,23.81,42.71,12,4,5,24,1,1,44,Free,8,4,3,4.0,0.72,75.24,153,Referral,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100053,21,Male,India,Android,1.2,11,17.66,50.51,14,5,8,6,1,0,7,Free,7,4,2,,0.24,62.56,334,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100054,19,Male,Germany,iOS,2.1,7,9.46,63.57,13,6,4,7,0,0,3,Basic,6,3,3,4.0,0.63,59.02,677,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100055,23,Female,India,Android,1.2,10,16.43,38.6,19,3,6,16,0,1,15,Basic,11,3,0,2.0,0.01,45.31,1006,Google Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100056,59,Female,Canada,Android,1.2,10,12.44,5.0,11,9,2,24,0,0,1,Free,7,4,1,4.0,0.63,59.45,56,Google Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100057,21,Male,India,Android,1.2,11,18.83,10.35,15,6,5,21,0,0,14,Basic,3,1,0,5.0,0.01,59.85,444,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100058,46,Male,India,iOS,1.0,15,12.59,19.44,15,5,4,11,0,1,39,Free,9,1,1,3.0,0.2,71.08,865,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100059,35,Female,Singapore,Android,2.1,8,10.98,52.47,13,4,3,22,0,0,22,Free,9,3,3,2.0,0.95,39.56,197,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100060,43,Other,India,iOS,1.2,11,5.39,55.93,12,5,2,11,0,0,42,Basic,1,4,4,4.0,0.94,55.7,608,Organic,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100061,51,Male,India,Android,1.2,3,5.83,93.11,14,3,9,12,0,0,26,Free,2,3,4,2.0,0.36,66.11,1161,Referral,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100062,27,Male,Singapore,Android,2.0,7,15.82,52.95,15,1,4,5,1,1,29,Free,6,5,1,4.0,0.54,53.92,879,Referral,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100063,53,Male,UK,Web,2.1,6,15.91,43.81,13,7,4,18,0,0,44,Free,3,1,1,3.0,0.04,92.94,1023,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100064,31,Female,India,Android,2.0,9,21.07,65.98,12,3,6,15,1,0,4,Free,4,2,3,5.0,0.49,45.9,634,Email Campaign,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100065,48,Female,Australia,Android,2.0,9,25.4,38.07,17,6,7,14,1,0,9,Basic,6,1,3,3.0,0.3,84.71,776,Referral,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100066,32,Female,UK,Web,2.0,5,16.15,34.77,14,5,7,18,0,0,19,Free,8,2,3,5.0,0.69,76.78,1173,Facebook Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100067,25,Male,India,Android,2.0,3,13.04,6.06,19,5,4,18,0,0,17,Basic,6,2,1,4.0,0.46,65.79,130,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100068,31,Female,India,iOS,2.0,7,12.42,31.07,12,3,8,24,1,0,13,Free,3,3,3,2.0,0.6,47.78,646,Email Campaign,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100069,40,Male,UK,Android,1.1,13,21.75,57.3,13,5,5,17,2,0,34,Free,6,0,4,3.0,0.39,79.61,170,Google Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100070,57,Female,Germany,Android,1.1,12,8.38,46.04,6,5,6,22,0,0,11,Free,4,2,4,2.0,0.26,74.54,579,Organic,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100071,38,Female,USA,Android,2.1,6,7.01,38.98,10,5,8,6,0,0,40,Premium,8,3,2,4.0,0.34,66.99,1195,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100072,33,Female,USA,Android,2.1,6,9.42,53.25,11,2,3,22,0,0,12,Free,7,4,2,5.0,0.93,64.52,1180,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100073,35,Female,Australia,Web,2.0,9,19.69,54.39,14,3,3,11,0,0,41,Free,6,4,1,3.0,0.76,65.32,830,Facebook Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100074,41,Male,Germany,Android,1.2,16,3.22,34.91,9,6,5,3,0,0,28,Basic,9,1,2,,0.52,75.9,1140,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100075,43,Male,USA,Android,1.1,7,9.82,53.82,8,3,5,9,0,1,5,Free,3,1,2,3.0,0.75,82.57,846,Referral,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100076,42,Female,India,iOS,1.0,8,16.09,51.21,16,8,6,4,0,0,26,Basic,6,4,1,3.0,0.79,51.93,683,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100077,58,Female,India,Android,1.1,6,12.48,5.0,13,6,4,20,0,0,30,Premium,3,7,2,5.0,0.7,82.77,1048,Google Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100078,46,Male,Germany,Android,1.1,5,7.57,24.11,12,3,5,7,1,0,14,Basic,11,3,3,3.0,0.08,81.31,444,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100079,32,Male,Australia,Android,2.1,3,32.47,51.59,6,9,3,5,0,2,26,Premium,7,2,2,4.0,0.82,68.16,1111,Google Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100080,18,Female,UK,Android,1.2,8,12.64,47.99,15,4,3,21,1,0,41,Free,7,1,3,3.0,0.27,80.35,853,Facebook Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100081,42,Male,USA,Web,1.1,5,9.78,55.88,5,4,6,8,1,0,11,Free,6,2,0,4.0,0.05,69.97,721,Referral,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100082,24,Female,India,iOS,1.0,8,4.78,46.27,7,6,3,12,0,1,2,Free,6,2,2,4.0,0.25,76.9,80,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100083,26,Female,India,iOS,1.2,11,1.87,24.05,12,6,0,8,0,1,40,Basic,2,1,1,3.0,0.67,62.71,85,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100084,41,Female,Australia,Web,2.0,9,34.64,28.9,17,6,6,10,0,0,39,Free,3,0,3,5.0,0.42,87.04,317,Organic,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100085,18,Female,India,Android,2.0,10,12.95,35.74,16,6,7,15,1,0,8,Free,5,1,2,3.0,0.49,50.21,1021,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100086,25,Female,USA,Web,1.1,7,15.71,57.07,9,5,2,5,0,1,1,Free,5,3,2,3.0,0.64,74.99,180,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100087,41,Male,USA,Web,1.1,13,14.05,16.52,15,5,2,18,0,0,38,Free,2,4,0,3.0,0.21,59.01,1107,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100088,28,Female,Australia,Android,2.1,14,18.63,79.82,7,7,7,17,0,0,0,Free,6,2,1,3.0,0.85,51.33,456,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100089,34,Female,India,iOS,2.1,8,7.35,17.64,17,9,4,9,0,0,16,Premium,6,5,3,5.0,0.78,63.75,562,Referral,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100090,25,Female,USA,Android,1.1,6,16.83,46.96,7,5,10,11,1,0,42,Basic,4,1,1,2.0,0.08,53.19,603,Email Campaign,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100091,52,Male,Singapore,Web,2.1,11,3.0,36.3,15,10,2,20,0,2,1,Basic,6,0,0,2.0,0.34,63.12,515,Google Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100092,52,Female,UK,Android,1.1,5,12.57,29.14,19,3,5,18,0,0,31,Free,4,2,2,4.0,0.22,71.88,463,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100093,50,Male,India,Web,1.2,5,15.86,34.94,14,3,6,4,0,0,24,Basic,6,4,2,4.0,0.35,41.02,488,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100094,22,Male,UK,Android,1.1,6,7.87,47.42,10,7,2,18,2,0,28,Free,4,4,2,5.0,0.6,99.48,976,Facebook Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100095,59,Male,USA,iOS,1.2,5,21.88,51.81,7,11,4,6,2,0,38,Free,7,2,1,4.0,0.78,55.18,752,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100096,56,Male,USA,Android,1.1,5,8.78,64.02,11,4,7,11,1,0,7,Free,5,3,4,1.0,0.18,66.0,278,Organic,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100097,58,Female,USA,Android,2.1,7,16.34,45.11,15,4,5,4,0,0,6,Premium,5,2,2,4.0,0.18,70.31,183,Email Campaign,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100098,45,Male,UK,Android,1.1,10,8.24,36.82,5,7,4,15,1,0,29,Premium,3,4,0,2.0,0.26,56.42,380,Facebook Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100099,24,Male,Germany,Android,1.1,12,3.66,61.12,7,5,4,10,0,0,16,Premium,10,4,3,2.0,0.26,76.83,691,Google Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100100,26,Female,India,Android,1.0,8,17.8,59.14,16,8,4,15,1,0,28,Free,10,3,1,3.0,0.74,62.95,554,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100101,25,Female,Singapore,Android,1.2,6,11.52,55.15,12,6,2,11,0,0,3,Free,3,1,4,1.0,0.83,59.99,622,Google Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100102,29,Male,India,iOS,2.1,5,1.69,39.88,10,8,5,8,1,0,14,Premium,5,4,2,5.0,0.48,49.63,383,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100103,51,Female,UK,Android,2.1,8,18.02,44.75,12,3,2,9,1,0,3,Free,5,3,1,,0.21,65.07,48,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100104,50,Male,India,iOS,1.2,10,3.06,55.31,18,6,7,7,1,0,41,Premium,5,1,3,4.0,0.11,63.82,530,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100105,40,Male,Canada,Android,2.0,4,7.79,71.49,11,4,4,15,1,0,17,Basic,5,1,3,4.0,0.65,91.07,673,Google Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100106,41,Male,India,Android,2.1,12,11.66,49.1,12,9,4,4,0,0,19,Free,9,2,3,3.0,0.55,74.46,730,Email Campaign,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100107,54,Female,India,Android,1.0,15,27.41,45.09,19,7,4,3,2,0,24,Free,8,3,2,3.0,0.27,44.05,1149,Organic,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100108,52,Female,India,Android,1.2,11,23.92,41.19,16,5,3,10,0,0,5,Basic,8,3,1,4.0,0.63,59.41,58,Email Campaign,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100109,57,Male,India,Android,1.0,9,19.63,17.3,14,4,7,9,1,0,3,Basic,6,4,1,4.0,0.56,58.58,69,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100110,39,Male,India,iOS,1.2,8,12.79,39.5,15,4,3,11,0,0,23,Free,5,3,1,5.0,0.14,80.57,902,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100111,44,Male,USA,iOS,2.1,11,19.66,48.9,13,5,2,3,0,1,22,Free,4,3,2,5.0,0.66,48.91,1187,Google Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100112,52,Female,India,Web,2.1,9,6.93,16.57,12,5,3,20,2,0,29,Basic,4,2,0,4.0,0.21,47.51,713,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100113,18,Female,India,Android,1.2,4,18.27,71.99,11,5,3,21,0,0,14,Premium,4,4,1,5.0,0.77,36.27,469,Referral,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100114,52,Female,India,iOS,1.2,10,21.89,37.09,6,3,6,19,0,0,30,Premium,9,2,2,1.0,0.91,64.58,246,Facebook Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100115,54,Female,India,Android,2.1,10,22.74,87.9,8,6,7,9,1,0,36,Free,4,3,2,4.0,0.35,78.88,454,Google Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100116,31,Male,India,Android,1.1,9,14.01,46.05,10,9,4,12,0,0,32,Premium,10,2,0,5.0,0.04,83.1,366,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100117,20,Male,India,Android,2.1,4,7.99,49.97,14,5,3,22,0,0,19,Basic,5,11,0,5.0,0.97,54.16,345,Google Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100118,18,Male,Germany,iOS,2.1,13,16.98,56.5,15,4,4,4,0,1,7,Basic,4,0,5,1.0,0.6,40.89,381,Organic,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100119,22,Male,Canada,Web,1.0,12,19.56,47.18,11,7,6,9,0,0,32,Free,13,2,6,4.0,0.97,49.93,445,Facebook Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100120,43,Other,Germany,iOS,2.0,10,9.61,19.82,13,3,3,19,0,0,6,Free,6,2,1,4.0,0.09,94.76,449,Facebook Ads,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100121,31,Female,Germany,Android,1.0,6,6.4,18.11,13,4,3,10,1,0,18,Premium,5,3,4,1.0,0.39,81.58,841,Facebook Ads,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100122,56,Female,India,iOS,2.1,4,33.64,27.57,14,5,1,23,0,0,42,Basic,4,7,5,5.0,0.77,70.69,623,Google Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100123,44,Male,India,iOS,1.1,11,27.82,27.14,13,8,5,13,0,0,12,Free,8,2,4,1.0,0.81,77.19,134,Google Ads,1,Long-Session Users,"Premium recommendations, personalized content, upselling"
100124,26,Male,Canada,Android,2.1,3,24.57,31.07,8,7,2,17,0,1,18,Free,4,2,5,4.0,0.24,34.77,54,Referral,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100125,32,Male,Germany,Web,2.0,15,11.55,53.32,12,3,1,11,0,0,17,Premium,5,2,1,4.0,0.27,69.44,378,Facebook Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100126,32,Male,Canada,Android,1.0,12,6.69,26.41,12,6,1,16,0,0,42,Basic,5,5,2,3.0,0.48,60.89,910,Organic,2,Exploratory / Deep-Navigation Users,Personalized recommendations and content discovery
100127,43,Male,USA,Android,1.2,12,21.95,53.86,14,3,0,8,0,2,32,Free,6,1,0,5.0,0.58,95.73,732,Facebook Ads,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
100128,59,Female,USA,Web,2.1,5,22.31,53.69,7,7,2,20,0,1,43,Free,7,3,4,5.0,0.49,71.17,756,Organic,0,Socially Active Users,"Referral programs, social rewards, community engagement"
100129,30,Female,USA,Android,2.0,8,16.37,5.0,11,6,3,7,1,1,28,Basic,5,5,2,5.0,0.21,61.69,160,Organic,3,Low-Navigation Users,"Improve onboarding, simplify navigation, feature discovery campaigns"
