user_id,age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source
100063,53,Male,UK,Web,2.1,6,15.91,43.81,13,7,4,18,0,0,44,Free,3,1,1,3,0.04,92.94,1023,Referral
100064,31,Female,India,Android,2,9,21.07,65.98,12,3,6,15,1,0,4,Free,4,2,3,5,0.49,45.9,634,Email Campaign
100065,48,Female,Australia,Android,2,9,25.4,38.07,17,6,7,14,1,0,9,Basic,6,1,3,3,0.3,84.71,776,Referral
100066,32,Female,UK,Web,2,5,16.15,34.77,14,5,7,18,0,0,19,Free,8,2,3,5,0.69,76.78,1173,Facebook Ads
100067,25,Male,India,Android,2,3,13.04,6.06,19,5,4,18,0,0,17,Basic,6,2,1,4,0.46,65.79,130,Referral
100068,31,Female,India,iOS,2,7,12.42,31.07,12,3,8,24,1,0,13,Free,3,3,3,2,0.6,47.78,646,Email Campaign
100069,40,Male,UK,Android,1.1,13,21.75,57.3,13,5,5,17,2,0,34,Free,6,0,4,3,0.39,79.61,170,Google Ads
100070,57,Female,Germany,Android,1.1,12,8.38,46.04,6,5,6,22,0,0,11,Free,4,2,4,2,0.26,74.54,579,Organic
100071,38,Female,USA,Android,2.1,6,7.01,38.98,10,5,8,6,0,0,40,Premium,8,3,2,4,0.34,66.99,1195,Organic
100072,33,Female,USA,Android,2.1,6,9.42,53.25,11,2,3,22,0,0,12,Free,7,4,2,5,0.93,64.52,1180,Organic
100073,35,Female,Australia,Web,2,9,19.69,54.39,14,3,3,11,0,0,41,Free,6,4,1,3,0.76,65.32,830,Facebook Ads
100074,41,Male,Germany,Android,1.2,16,3.22,34.91,9,6,5,3,0,0,28,Basic,9,1,2,,0.52,75.9,1140,Organic
100075,43,Male,USA,Android,1.1,7,9.82,53.82,8,3,5,9,0,1,5,Free,3,1,2,3,0.75,82.57,846,Referral
100076,42,Female,India,iOS,1,8,16.09,51.21,16,8,6,4,0,0,26,Basic,6,4,1,3,0.79,51.93,683,Google Ads
100077,58,Female,India,Android,1.1,6,12.48,5,13,6,4,20,0,0,30,Premium,3,7,2,5,0.7,82.77,1048,Google Ads
100078,46,Male,Germany,Android,1.1,5,7.57,24.11,12,3,5,7,1,0,14,Basic,11,3,3,3,0.08,81.31,444,Organic
100079,32,Male,Australia,Android,2.1,3,32.47,51.59,6,9,3,5,0,2,26,Premium,7,2,2,4,0.82,68.16,1111,Google Ads
100080,18,Female,UK,Android,1.2,8,12.64,47.99,15,4,3,21,1,0,41,Free,7,1,3,3,0.27,80.35,853,Facebook Ads
100081,42,Male,USA,Web,1.1,5,9.78,55.88,5,4,6,8,1,0,11,Free,6,2,0,4,0.05,69.97,721,Referral
100082,24,Female,India,iOS,1,8,4.78,46.27,7,6,3,12,0,1,2,Free,6,2,2,4,0.25,76.9,80,Google Ads
100083,26,Female,India,iOS,1.2,11,1.87,24.05,12,6,0,8,0,1,40,Basic,2,1,1,3,0.67,62.71,85,Organic
100084,41,Female,Australia,Web,2,9,34.64,28.9,17,6,6,10,0,0,39,Free,3,0,3,5,0.42,87.04,317,Organic
100085,18,Female,India,Android,2,10,12.95,35.74,16,6,7,15,1,0,8,Free,5,1,2,3,0.49,50.21,1021,Referral
100086,25,Female,USA,Web,1.1,7,15.71,57.07,9,5,2,5,0,1,1,Free,5,3,2,3,0.64,74.99,180,Organic
100087,41,Male,USA,Web,1.1,13,14.05,16.52,15,5,2,18,0,0,38,Free,2,4,0,3,0.21,59.01,1107,Organic
100088,28,Female,Australia,Android,2.1,14,18.63,79.82,7,7,7,17,0,0,0,Free,6,2,1,3,0.85,51.33,456,Organic
100089,34,Female,India,iOS,2.1,8,7.35,17.64,17,9,4,9,0,0,16,Premium,6,5,3,5,0.78,63.75,562,Referral
100090,25,Female,USA,Android,1.1,6,16.83,46.96,7,5,10,11,1,0,42,Basic,4,1,1,2,0.08,53.19,603,Email Campaign
100091,52,Male,Singapore,Web,2.1,11,3,36.3,15,10,2,20,0,2,1,Basic,6,0,0,2,0.34,63.12,515,Google Ads
100092,52,Female,UK,Android,1.1,5,12.57,29.14,19,3,5,18,0,0,31,Free,4,2,2,4,0.22,71.88,463,Referral
100093,50,Male,India,Web,1.2,5,15.86,34.94,14,3,6,4,0,0,24,Basic,6,4,2,4,0.35,41.02,488,Google Ads
100094,22,Male,UK,Android,1.1,6,7.87,47.42,10,7,2,18,2,0,28,Free,4,4,2,5,0.6,99.48,976,Facebook Ads
100095,59,Male,USA,iOS,1.2,5,21.88,51.81,7,11,4,6,2,0,38,Free,7,2,1,4,0.78,55.18,752,Google Ads
100096,56,Male,USA,Android,1.1,5,8.78,64.02,11,4,7,11,1,0,7,Free,5,3,4,1,0.18,66,278,Organic
100097,58,Female,USA,Android,2.1,7,16.34,45.11,15,4,5,4,0,0,6,Premium,5,2,2,4,0.18,70.31,183,Email Campaign
100098,45,Male,UK,Android,1.1,10,8.24,36.82,5,7,4,15,1,0,29,Premium,3,4,0,2,0.26,56.42,380,Facebook Ads
100099,24,Male,Germany,Android,1.1,12,3.66,61.12,7,5,4,10,0,0,16,Premium,10,4,3,2,0.26,76.83,691,Google Ads
100100,26,Female,India,Android,1,8,17.8,59.14,16,8,4,15,1,0,28,Free,10,3,1,3,0.74,62.95,554,Organic
100101,25,Female,Singapore,Android,1.2,6,11.52,55.15,12,6,2,11,0,0,3,Free,3,1,4,1,0.83,59.99,622,Google Ads
100102,29,Male,India,iOS,2.1,5,1.69,39.88,10,8,5,8,1,0,14,Premium,5,4,2,5,0.48,49.63,383,Google Ads
100103,51,Female,UK,Android,2.1,8,18.02,44.75,12,3,2,9,1,0,3,Free,5,3,1,,0.21,65.07,48,Google Ads
100104,50,Male,India,iOS,1.2,10,3.06,55.31,18,6,7,7,1,0,41,Premium,5,1,3,4,0.11,63.82,530,Organic
100105,40,Male,Canada,Android,2,4,7.79,71.49,11,4,4,15,1,0,17,Basic,5,1,3,4,0.65,91.07,673,Google Ads
100106,41,Male,India,Android,2.1,12,11.66,49.1,12,9,4,4,0,0,19,Free,9,2,3,3,0.55,74.46,730,Email Campaign
100107,54,Female,India,Android,1,15,27.41,45.09,19,7,4,3,2,0,24,Free,8,3,2,3,0.27,44.05,1149,Organic
100108,52,Female,India,Android,1.2,11,23.92,41.19,16,5,3,10,0,0,5,Basic,8,3,1,4,0.63,59.41,58,Email Campaign
100109,57,Male,India,Android,1,9,19.63,17.3,14,4,7,9,1,0,3,Basic,6,4,1,4,0.56,58.58,69,Google Ads
100110,39,Male,India,iOS,1.2,8,12.79,39.5,15,4,3,11,0,0,23,Free,5,3,1,5,0.14,80.57,902,Organic
100111,44,Male,USA,iOS,2.1,11,19.66,48.9,13,5,2,3,0,1,22,Free,4,3,2,5,0.66,48.91,1187,Google Ads
100112,52,Female,India,Web,2.1,9,6.93,16.57,12,5,3,20,2,0,29,Basic,4,2,0,4,0.21,47.51,713,Referral
100113,18,Female,India,Android,1.2,4,18.27,71.99,11,5,3,21,0,0,14,Premium,4,4,1,5,0.77,36.27,469,Referral
100114,52,Female,India,iOS,1.2,10,21.89,37.09,6,3,6,19,0,0,30,Premium,9,2,2,1,0.91,64.58,246,Facebook Ads
100115,54,Female,India,Android,2.1,10,22.74,87.9,8,6,7,9,1,0,36,Free,4,3,2,4,0.35,78.88,454,Google Ads
100116,31,Male,India,Android,1.1,9,14.01,46.05,10,9,4,12,0,0,32,Premium,10,2,0,5,0.04,83.1,366,Organic
100117,20,Male,India,Android,2.1,4,7.99,49.97,14,5,3,22,0,0,19,Basic,5,11,0,5,0.97,54.16,345,Google Ads
100118,18,Male,Germany,iOS,2.1,13,16.98,56.5,15,4,4,4,0,1,7,Basic,4,0,5,1,0.6,40.89,381,Organic
100119,22,Male,Canada,Web,1,12,19.56,47.18,11,7,6,9,0,0,32,Free,13,2,6,4,0.97,49.93,445,Facebook Ads
100120,43,Other,Germany,iOS,2,10,9.61,19.82,13,3,3,19,0,0,6,Free,6,2,1,4,0.09,94.76,449,Facebook Ads
100121,31,Female,Germany,Android,1,6,6.4,18.11,13,4,3,10,1,0,18,Premium,5,3,4,1,0.39,81.58,841,Facebook Ads
100122,56,Female,India,iOS,2.1,4,33.64,27.57,14,5,1,23,0,0,42,Basic,4,7,5,5,0.77,70.69,623,Google Ads
100123,44,Male,India,iOS,1.1,11,27.82,27.14,13,8,5,13,0,0,12,Free,8,2,4,1,0.81,77.19,134,Google Ads
100124,26,Male,Canada,Android,2.1,3,24.57,31.07,8,7,2,17,0,1,18,Free,4,2,5,4,0.24,34.77,54,Referral
100125,32,Male,Germany,Web,2,15,11.55,53.32,12,3,1,11,0,0,17,Premium,5,2,1,4,0.27,69.44,378,Facebook Ads
100126,32,Male,Canada,Android,1,12,6.69,26.41,12,6,1,16,0,0,42,Basic,5,5,2,3,0.48,60.89,910,Organic
100127,43,Male,USA,Android,1.2,12,21.95,53.86,14,3,0,8,0,2,32,Free,6,1,0,5,0.58,95.73,732,Facebook Ads
100128,59,Female,USA,Web,2.1,5,22.31,53.69,7,7,2,20,0,1,43,Free,7,3,4,5,0.49,71.17,756,Organic
100129,30,Female,USA,Android,2,8,16.37,5,11,6,3,7,1,1,28,Basic,5,5,2,5,0.21,61.69,160,Organic
100130,49,Male,USA,Android,1,9,7.71,81.14,15,6,7,13,2,0,6,Basic,6,3,5,,0.72,49.15,1141,Referral
100131,56,Male,India,iOS,2.1,6,59.19,57.55,8,7,6,24,0,1,3,Basic,1,2,2,4,0.39,66.21,1015,Google Ads
100132,49,Male,India,Android,2.1,10,8.99,23.37,14,9,7,10,0,0,41,Free,7,3,5,4,0.92,60.62,1064,Google Ads
100133,21,Male,India,iOS,1,7,24.49,52.19,10,9,1,10,1,0,27,Premium,7,6,0,4,0.77,76.28,257,Organic
100134,47,Female,USA,iOS,1.1,6,6.21,36.34,13,4,4,3,0,0,41,Basic,7,3,1,4,0.5,50.23,657,Facebook Ads
100135,54,Female,India,Android,2,9,4.81,28.63,12,2,3,14,0,2,22,Free,12,2,1,,0.77,72.39,48,Organic
100136,40,Male,India,Android,1.1,4,4.35,32.47,12,3,3,24,1,0,42,Free,6,5,2,4,0.52,86.46,1098,Facebook Ads
100137,56,Male,Singapore,Android,1.1,16,11.18,5.87,10,9,2,3,0,0,25,Free,6,2,2,5,0.07,63.59,589,Google Ads
100138,32,Male,Canada,Android,1.1,8,6.19,41.3,16,3,4,6,0,0,9,Basic,7,3,2,3,0.51,74.3,511,Facebook Ads
100139,46,Female,India,iOS,1.1,8,35.16,54.47,13,5,3,5,0,0,24,Free,6,1,2,,0.71,41.36,18,Referral
100140,53,Female,Canada,iOS,1.2,4,3.94,61.13,8,5,4,21,1,0,41,Free,5,1,6,5,0.66,60.1,497,Organic
100141,30,Male,India,Android,2,7,5.64,26.42,10,10,5,14,0,1,41,Free,11,3,2,5,0.5,55.49,41,Referral
100142,49,Female,Australia,iOS,1.1,9,10.21,72.93,10,6,2,5,0,1,15,Free,5,0,1,4,0.42,47.37,1031,Facebook Ads
100143,24,Male,Canada,Android,1.2,4,1.8,68.85,14,3,5,18,2,0,3,Free,3,2,0,5,0.26,75.16,65,Google Ads
100144,39,Female,USA,Android,2,10,7.12,62.57,11,5,4,16,1,0,36,Free,7,3,2,4,0.41,42.69,716,Facebook Ads
100145,45,Male,UK,Android,2.1,4,17.15,33.22,6,8,6,8,0,0,40,Basic,3,2,1,3,0.32,55.33,480,Facebook Ads
100146,19,Male,Germany,Android,1.1,13,2.46,35.91,14,1,3,4,0,0,21,Free,2,1,1,4,0.19,42.31,128,Referral
100147,59,Male,USA,Android,1,13,17.14,76.03,17,1,4,9,0,0,27,Free,5,4,5,5,0.02,69.34,891,Facebook Ads
100148,23,Male,India,iOS,2,5,21.82,61.58,19,4,3,15,0,0,17,Premium,9,2,4,4,0.78,53.98,1036,Google Ads
100149,45,Male,USA,Android,1,5,13.21,5,12,8,4,10,1,0,3,Free,2,1,2,4,0.44,76.94,122,Email Campaign
100150,45,Female,India,iOS,2,7,19.76,32.85,13,4,2,12,0,0,38,Free,3,3,2,2,0.73,65.33,872,Organic
100151,37,Male,USA,Web,2,7,17.85,32.66,8,5,4,7,1,0,14,Free,4,3,5,4,0.84,45.54,204,Google Ads
100152,47,Male,India,iOS,1,6,8.26,5,7,0,4,14,0,0,31,Free,7,1,5,4,0.57,42.2,536,Referral
100153,28,Female,UK,iOS,2,9,0.97,39.66,12,1,4,10,0,0,28,Free,6,2,2,1,0.36,51.84,895,Facebook Ads
100154,45,Male,India,iOS,2.1,7,2.6,63.53,9,5,5,23,1,0,4,Free,4,2,2,4,0.74,52.39,151,Google Ads
100155,42,Male,USA,Android,1.1,10,8.6,18.49,13,7,5,18,2,0,12,Free,12,3,1,5,0.63,76.77,307,Google Ads
100156,56,Female,Germany,iOS,2,9,30.7,44.46,17,2,2,16,1,0,8,Basic,6,3,2,5,0.89,54.43,34,Google Ads
100157,50,Male,USA,Web,1.2,13,2.16,12.06,16,8,4,5,2,0,16,Free,5,2,2,3,0.15,52.06,760,Organic
100158,18,Female,Singapore,iOS,2,11,9.41,43.43,9,9,8,9,1,0,37,Basic,4,2,3,3,0.28,58.55,739,Referral
100159,44,Female,India,iOS,1.2,8,14.38,5,11,5,6,18,3,0,21,Basic,5,2,1,4,0.23,72.71,1178,Google Ads
100160,30,Female,Australia,Android,2,8,17.54,41.23,19,5,5,14,1,0,31,Premium,4,3,4,5,0.91,67.8,426,Google Ads
100161,58,Male,India,iOS,2,9,16.82,51.09,11,8,4,16,0,0,3,Basic,3,1,1,4,0.93,72.77,535,Facebook Ads
100162,20,Female,Canada,iOS,2.1,5,5.84,44.11,11,5,3,18,0,0,15,Basic,7,1,1,,0.16,84.9,375,Organic
100163,56,Female,USA,Android,1.1,9,10.71,33.07,13,7,0,19,0,0,7,Premium,7,3,2,,0.38,67.8,1012,Organic
100164,23,Male,USA,iOS,2.1,6,9.76,12.39,13,2,5,4,1,0,5,Free,6,3,2,3,0.87,74.49,689,Referral
100165,25,Female,USA,Android,2.1,6,8.65,79.79,12,6,7,23,0,1,16,Free,6,2,3,3,0.36,52.68,1184,Referral
100166,44,Female,India,Web,1.1,9,12.38,39.76,7,4,3,5,0,0,39,Free,3,6,1,5,0.43,83.47,686,Referral
100167,26,Female,India,Android,1.1,9,17.03,19.84,6,4,4,11,1,1,12,Basic,8,4,2,4,0.51,72.01,1195,Organic
100168,54,Male,UK,Android,2.1,6,29.47,27.98,14,3,5,22,0,0,14,Premium,8,5,1,,0.3,64.83,443,Organic
100169,50,Male,India,iOS,1.1,9,5.95,31.05,10,6,5,6,0,0,29,Premium,3,1,5,5,0.73,72.97,310,Referral
100170,59,Male,UK,Android,1,11,10.05,23.03,6,3,3,9,0,0,23,Free,9,9,2,4,0.41,65.19,157,Organic
100171,41,Male,India,Android,1,5,6.57,65.74,7,4,1,16,0,0,43,Free,4,8,1,4,0,51.75,932,Organic
100172,32,Male,India,Android,1.1,10,0.78,63.34,15,3,3,14,1,1,1,Free,8,2,2,2,0.61,53.7,566,Email Campaign
100173,49,Female,Canada,iOS,1.2,3,15.67,5.21,15,5,3,12,2,0,1,Free,5,1,2,4,0.21,71.41,1137,Google Ads
100174,49,Female,India,Android,1,8,20.54,53.33,9,2,2,24,1,0,43,Free,10,4,3,5,0.14,92.83,1054,Google Ads
100175,41,Female,UK,Android,1,15,5.12,22.05,10,7,5,19,0,0,37,Premium,5,1,3,4,0.02,43.3,715,Facebook Ads
100176,58,Male,USA,Android,1.1,5,6.76,46.85,17,6,4,4,0,0,42,Free,6,2,4,4,0.76,49.24,1038,Referral
100177,29,Female,India,Web,1.1,6,13.91,38.21,11,3,3,18,0,0,17,Basic,6,1,2,1,0.39,58.75,976,Organic
100178,56,Female,USA,iOS,2,15,21.14,47.58,10,7,3,22,0,0,36,Premium,12,3,1,4,0.49,23.17,624,Organic
100179,19,Female,India,iOS,1,7,1.47,56.58,13,6,5,10,0,0,4,Free,9,0,2,3,0.41,56.8,19,Organic
100180,20,Female,India,iOS,1,12,6.89,62.18,15,7,5,16,0,0,35,Free,5,1,0,4,0.87,83.15,129,Organic
100181,54,Male,India,Android,1,5,8.94,66.81,10,6,2,18,0,0,33,Basic,4,5,4,4,0.78,49.09,1044,Email Campaign
100182,34,Female,USA,iOS,1.1,10,22.7,46.55,8,5,7,4,1,0,19,Free,7,3,4,3,0.37,84.43,460,Organic
100183,19,Male,Singapore,Android,1.2,8,29.1,21.08,15,4,6,3,0,0,10,Free,10,3,0,3,0.97,55.92,1066,Organic
100184,19,Female,Canada,Android,2,11,12.7,51.05,16,8,8,8,1,0,34,Free,13,3,1,3,0.07,56.47,1039,Referral
100185,45,Female,India,Android,2.1,10,4.67,29.54,14,8,2,18,0,0,13,Basic,1,5,0,5,0.99,70.87,336,Email Campaign
100186,40,Male,India,iOS,1,8,10.3,58.88,12,2,2,4,0,0,21,Basic,6,7,2,4,0.29,56.43,846,Organic
100187,54,Female,UK,iOS,2.1,6,14.44,15,15,10,2,12,2,0,3,Free,6,4,2,5,0.01,60.13,856,Facebook Ads
100188,49,Male,India,Android,1.2,4,7.97,37.02,7,4,2,18,0,0,44,Free,6,5,0,4,0.04,78.56,227,Email Campaign
100189,50,Female,USA,iOS,2.1,3,12.96,58.12,22,5,4,21,1,1,23,Free,8,4,1,,0.9,66.2,998,Google Ads
100190,18,Female,Singapore,Android,1.1,5,8.66,35.89,14,3,2,7,1,0,28,Basic,7,2,4,4,0.59,79.84,124,Organic
100191,36,Female,India,iOS,2.1,3,2.85,41.53,9,3,3,15,2,0,31,Free,5,2,2,,0.54,29.89,149,Organic
100192,19,Male,Germany,Web,1.1,5,18.32,34.52,16,4,4,12,0,0,40,Free,4,2,3,4,0.85,44.09,920,Google Ads
100193,43,Male,India,iOS,2.1,6,26.64,63.85,12,5,2,10,0,0,41,Free,8,3,2,3,0.12,69.65,134,Organic
100194,49,Other,India,iOS,1.1,11,9.14,53.16,10,11,6,15,0,0,0,Premium,12,3,2,4,0.56,60.47,52,Email Campaign
100195,23,Male,India,iOS,1,10,11.35,36.27,8,5,5,24,1,0,37,Free,2,1,0,2,0.87,63.68,43,Referral
100196,49,Female,USA,Android,1,8,6.83,55.94,16,8,11,14,0,0,4,Free,7,1,4,4,0.57,77.59,808,Google Ads
100197,21,Female,Australia,Android,1.1,10,9.23,38.73,10,3,5,6,1,0,32,Basic,4,4,3,5,0.88,69.08,954,Google Ads
100198,28,Female,India,Android,2.1,9,9.05,35.89,13,4,3,16,0,0,3,Free,3,5,1,4,0.26,51.38,109,Organic
